_id,restaurant_id,name,yield,estimated_price,raw_materials
2a6e3b60-ed85-4549-ad3a-5ba82ba5bbce,507f1f77bcf86cd799439011,Plain Cream Cheese,"2x 6"" Pans of Plain Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}]"
fd80612f-20d3-4042-a5c7-9c31e3f5d037,507f1f77bcf86cd799439011,Scallion Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""scallion"", ""measure_unit"": ""oz"", ""measure_quantity"": 16.0, ""is_raw_material"": false}]"
922f0261-047f-4c06-9fb4-20bcf81e3622,507f1f77bcf86cd799439011,Dill & Black Pepper Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""Black Pepper"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 5.0, ""is_raw_material"": false}, {""material_name"": ""DIll"", ""measure_unit"": ""oz"", ""measure_quantity"": 140.0, ""is_raw_material"": false}]"
888b2f5a-5200-42f7-931a-c3ffc4e663cd,507f1f77bcf86cd799439011,SMoked Lox Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.25, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""smoked lox"", ""measure_unit"": ""quart"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
4775e132-706a-420a-a519-bad6775c01a9,507f1f77bcf86cd799439011,Smoked Lox,quart containers evenly (~ 12 ounces),,"[{""material_name"": ""wood chips"", ""measure_unit"": ""6\"" pan"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.25, ""is_raw_material"": false}, {""material_name"": ""fish fillet box"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}, {""material_name"": ""tin foil"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}]"
5c298ef6-d7ab-4e05-9c17-f7a5156efbfd,507f1f77bcf86cd799439011,Caramelized Onion&Roasted Garlic Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""caramelized onion"", ""measure_unit"": ""Cups"", ""measure_quantity"": 3.0, ""is_raw_material"": false}, {""material_name"": ""roasted Garlic"", ""measure_unit"": ""cups"", ""measure_quantity"": 2.0, ""is_raw_material"": false}, {""material_name"": ""Ground lack Pepper"", ""measure_unit"": ""teaspoons"", ""measure_quantity"": 4.0, ""is_raw_material"": false}]"
6a05deef-287c-4e62-a480-cb3325994362,507f1f77bcf86cd799439011,Caramelized Onions,3 cup portions,,"[{""material_name"": ""White Onion"", ""measure_unit"": ""lb"", ""measure_quantity"": 5.0, ""is_raw_material"": false}, {""material_name"": ""salt"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""sugar"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}]"
352866de-68ed-40dd-b69c-4e823032c0b9,507f1f77bcf86cd799439011,Roasted Garlic,2 cup portions,,"[{""material_name"": ""minced garlic"", ""measure_unit"": ""cups"", ""measure_quantity"": 5.0, ""is_raw_material"": false}, {""material_name"": ""Cooking Oil"", ""measure_unit"": ""Cup"", ""measure_quantity"": 2.0, ""is_raw_material"": false}]"
cab21324-d610-4e7d-aa23-80fadd22e03f,507f1f77bcf86cd799439011,Jalapeno Cream Cheese,,,"[{""material_name"": ""diced Jalapeno"", ""measure_unit"": ""Quart"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""cream cheese"", ""measure_unit"": ""pounds"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
50878ae8-0c06-422c-ba47-45485042cded,507f1f77bcf86cd799439011,Tahini & Roasted Garlic Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""Tahini"", ""measure_unit"": ""oz"", ""measure_quantity"": 6.0, ""is_raw_material"": false}, {""material_name"": ""roasted garlic"", ""measure_unit"": ""Tablespoons"", ""measure_quantity"": 4.0, ""is_raw_material"": false}, {""material_name"": ""Salt"", ""measure_unit"": ""Teaspoons"", ""measure_quantity"": 3.0, ""is_raw_material"": false}]"
3fb7edb1-ec2b-454f-9f7e-b3ea8fef73c4,507f1f77bcf86cd799439011,Marion Berry Cream Cheese,"1x 6"" Pans of Cream Cheese",,"[{""material_name"": ""Cream Cheese"", ""measure_unit"": ""lb"", ""measure_quantity"": 4.0, ""is_raw_material"": false}, {""material_name"": ""marionberry jam"", ""measure_unit"": ""Cups"", ""measure_quantity"": 1.5, ""is_raw_material"": false}, {""material_name"": ""Lemon Juice"", ""measure_unit"": ""Tablespoons"", ""measure_quantity"": 2.0, ""is_raw_material"": false}]"
44db759f-8ae1-4a5c-aa40-9e5a6fb67091,507f1f77bcf86cd799439011,Raspberry Honey Cream Cheese,"1x 6"" Pans of Cream Cheese",,"[{""material_name"": ""Cream Cheese"", ""measure_unit"": ""lb"", ""measure_quantity"": 4.0, ""is_raw_material"": false}, {""material_name"": ""Raspberry puree"", ""measure_unit"": ""Cup"", ""measure_quantity"": 0.33, ""is_raw_material"": false}, {""material_name"": ""honey"", ""measure_unit"": ""Cup"", ""measure_quantity"": 0.33, ""is_raw_material"": false}, {""material_name"": ""sugar"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.33, ""is_raw_material"": false}]"
b7f22839-3d67-4cd1-8bc4-5a3b4ab9a07b,507f1f77bcf86cd799439011,Pumpkin Honey Chai Cream Cheese,"1x 6"" Pans of Cream Cheese",,"[{""material_name"": ""Cream Cheese"", ""measure_unit"": ""lb"", ""measure_quantity"": 4.0, ""is_raw_material"": false}, {""material_name"": ""Pumpkin puree"", ""measure_unit"": ""cups"", ""measure_quantity"": 2.0, ""is_raw_material"": false}, {""material_name"": ""Chai concentrate"", ""measure_unit"": ""Cup"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""salt"", ""measure_unit"": ""teaspoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""honey"", ""measure_unit"": ""cup"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""nutmeg"", ""measure_unit"": ""teaspoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""cinnamon"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
b0344d67-2ab7-4d37-a6fb-832518a63be3,507f1f77bcf86cd799439011,Honey Thyme Cream Cheese,"1x 6"" Pans of Cream Cheese",,"[{""material_name"": ""Cream Cheese"", ""measure_unit"": ""lb"", ""measure_quantity"": 4.0, ""is_raw_material"": false}, {""material_name"": ""lemon thyme"", ""measure_unit"": ""gram"", ""measure_quantity"": 10.0, ""is_raw_material"": false}, {""material_name"": ""honey"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}]"
84d3589a-32dd-48e8-87e1-c09412e9d34a,507f1f77bcf86cd799439011,Huckleberry Cream Cheese,"1x 6"" Pans of Cream Cheese",,"[{""material_name"": ""Cream Cheese"", ""measure_unit"": ""lb"", ""measure_quantity"": 4.0, ""is_raw_material"": false}, {""material_name"": ""huckleberries"", ""measure_unit"": ""oz"", ""measure_quantity"": 6.0, ""is_raw_material"": false}, {""material_name"": ""powdered sugar"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.33, ""is_raw_material"": false}, {""material_name"": ""lemon juice"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""vanilla extract"", ""measure_unit"": ""teaspoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
6a7fd1b0-ce05-438c-a003-2ffe3c0dd880,507f1f77bcf86cd799439011,Plain Vegan Schmear,1 quart of vegan schmear,,"[{""material_name"": ""tofu"", ""measure_unit"": ""lb"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""coconut oil"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.25, ""is_raw_material"": false}, {""material_name"": ""Lemon Juice"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 1.5, ""is_raw_material"": false}, {""material_name"": ""salt"", ""measure_unit"": ""teaspoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""vanilla extract"", ""measure_unit"": ""teaspoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
a9a65be4-0bdf-4dff-b51d-72c9136023cc,507f1f77bcf86cd799439011,Seasonal Vegan Schmear,1 quart of vegan seasonal schmear,,"[{""material_name"": ""tofu"", ""measure_unit"": ""lb"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
9e1f35da-7b62-4b5a-87cd-40900ecd37db,507f1f77bcf86cd799439011,Avocado Spread,2 quart of avocado schmear,,"[{""material_name"": ""de-pitted avocados"", ""measure_unit"": ""bag"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""lemon juice"", ""measure_unit"": ""Cup"", ""measure_quantity"": 0.33, ""is_raw_material"": false}, {""material_name"": ""salt"", ""measure_unit"": ""Teaspoons"", ""measure_quantity"": 2.0, ""is_raw_material"": false}, {""material_name"": ""Citric Acid"", ""measure_unit"": ""tablesoons"", ""measure_quantity"": 1.5, ""is_raw_material"": false}]"
6324463d-031b-4ca4-a050-c5bea6ca0a03,507f1f77bcf86cd799439011,Carrot Lox,1 quart container,,"[{""material_name"": ""carrots"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}, {""material_name"": ""salt"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}, {""material_name"": ""olive oil"", ""measure_unit"": ""oz"", ""measure_quantity"": 3.0, ""is_raw_material"": false}, {""material_name"": ""apple cider vinegar"", ""measure_unit"": ""oz"", ""measure_quantity"": 2.0, ""is_raw_material"": false}, {""material_name"": ""liquid smoke"", ""measure_unit"": ""oz"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""agave"", ""measure_unit"": ""oz"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
047f567c-5db0-4183-9787-6ec6607ee2eb,507f1f77bcf86cd799439011,Hot Sauce,1 bottle,,"[{""material_name"": ""Secret Aardvark Habanero Hot Sauce"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}]"
48e10852-e058-46b3-945e-528891745985,507f1f77bcf86cd799439011,Olive Tapenade,1 bottle,,"[{""material_name"": ""Kalamata Oilives"", ""measure_unit"": ""Lb"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""minced garlic"", ""measure_unit"": ""teaspoons"", ""measure_quantity"": 1.5, ""is_raw_material"": false}, {""material_name"": ""capers"", ""measure_unit"": ""Tablespoons"", ""measure_quantity"": 3.0, ""is_raw_material"": false}, {""material_name"": ""Lemon Juice"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""chili flakes"", ""measure_unit"": ""teaspoon"", ""measure_quantity"": 0.25, ""is_raw_material"": false}, {""material_name"": ""salt"", ""measure_unit"": ""teaspoons"", ""measure_quantity"": 2.0, ""is_raw_material"": false}, {""material_name"": ""olive oil"", ""measure_unit"": ""ounces"", ""measure_quantity"": 2.0, ""is_raw_material"": false}]"
c905f103-7d94-4770-a981-4766e5c27f2e,507f1f77bcf86cd799439011,Caper Dressing,1 bottle,,"[{""material_name"": ""plucked Dill"", ""measure_unit"": ""grams"", ""measure_quantity"": 40.0, ""is_raw_material"": false}, {""material_name"": ""plucked PARSLEY"", ""measure_unit"": ""grams"", ""measure_quantity"": 100.0, ""is_raw_material"": false}, {""material_name"": ""capers"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""salt"", ""measure_unit"": ""teaspoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""Lemon juice"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""olive oil"", ""measure_unit"": ""ounces"", ""measure_quantity"": 7.0, ""is_raw_material"": false}]"
8fcad511-4f6b-4bac-8058-066b9a437d75,507f1f77bcf86cd799439011,Pickled Red Onion,6 Quarts of Pickled Onions,,"[{""material_name"": ""red onion"", ""measure_unit"": ""Lbs"", ""measure_quantity"": 5.0, ""is_raw_material"": false}, {""material_name"": ""Apple Cider Vinegar"", ""measure_unit"": ""Cups"", ""measure_quantity"": 10.0, ""is_raw_material"": false}, {""material_name"": ""Water"", ""measure_unit"": ""Cups"", ""measure_quantity"": 6.0, ""is_raw_material"": false}, {""material_name"": ""Sugar"", ""measure_unit"": ""Cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Salt"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 6.0, ""is_raw_material"": false}]"
ba2c72df-307f-4ce6-824a-04087752dcbc,507f1f77bcf86cd799439011,Sorted Lox,70-75 gram portions,,"[{""material_name"": ""lox"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}]"
5b184154-f2a3-461e-8e50-b8712f78b952,507f1f77bcf86cd799439011,Salt & Pepper Mix,,,"[{""material_name"": ""salt"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}, {""material_name"": ""pepper"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}]"
